"OBJECTID,N,9,0","GIS_ID,C,16","WEB_URL,C,125","NAME,C,16","NBH_NAMES,C,254","Area,N,19,11","CLUSTER,C,254","Cluster_Na,C,254","PopTotal,N,19,11","PopU18,N,19,11","R_PopU18,N,19,11","PopU5,N,19,11","R_PopU5,N,19,11","PopNHW,N,19,11","PopNHB,N,19,11","PopNHO,N,19,11","PopHisp,N,19,11","PopNHW18,N,19,11","PopNHB18,N,19,11","PopNHO18,N,19,11","PopHisp18,N,19,11","ChildPov,N,19,11","ConcPov,N,19,11","R_ConcPov,N,19,11","NRTraveler,N,19,11","woHSDiplom,N,19,11","Nr25OrOlde,N,19,11","Employ1624,N,19,11","R_Employ16,N,19,11","SingleMomF,N,19,11","HomeOwn,N,19,11","R_HomeOwn,N,19,11","Reg_Vacant,N,19,11","MedFamInc,N,19,11","MedFamIncR,N,19,11","Voter_Turn,N,19,11","R_Voter_Tu,N,19,11","Library,N,19,11","InfantTod_,N,19,11","Medicaid_c,C,254","Medicaid_d,C,254","Grocery_St,N,19,11","Rec_Center,N,19,11","Bus_Stops,N,19,11","Metro_Stat,N,19,11","Rate_Asthm,N,19,11","Crime_rate,N,19,11","R_Crime_ra,N,19,11","Shape_Leng,N,19,11","Shape_Area,N,19,11","c_name,C,80","groc,N,24,15","rec,N,24,15"
1,Nbclus_039,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",4887587.80835,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",30959,8901.234322,40,2681.101193,40,0.00918,0.959979,0.017067,0.013772,0.002354,0.964673,0.017681,0.01529,0.458372,0.345317,34,0.251315,0.053963,0.191868,0.593795,6,0.638372,0.22047,7,46,26173.735,26200,0.240648,8,1,626,,,0,3,198,0,182.39863995,18.411447,30,0.1079005625,0.0005071132,"Congress Heights, Bellevue, Washington Highlands",0,3
2,Nbclus_038,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 38,"Douglas, Shipley Terrace",2370929.36038,Cluster 38,"Douglas, Shipley Terrace",9710,3335.975775,33,1015.319592,32,0.005688,0.965924,0.015801,0.012586,0.003008,0.968433,0.013237,0.015319,0.493936,0.396142,36,0.265464,0.063502,0.236159,0.730919,14,0.636363,0.175363,3,13,23501.6617,23500,0.214174,3,1,212,,,1,1,90,1,370.616489871,27.600411,40,0.0864584836,0.0002460401,"Douglas, Shipley Terrace",1,1
3,Nbclus_036,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",1119573.03957,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",7572,2298.670506,22,636.292626,20,0.007916,0.962655,0.017684,0.011744,0.001738,0.971313,0.014779,0.012168,0.527491,0.435927,38,0.22345,0.08062,0.238906,0.774667,19,0.1692,0.160444,2,6,24209.775,24200,0.219259,4,0,100,,,0,0,46,0,325.35054596,17.168515,28,0.048539452,0.0001161964,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",0,0
4,Nbclus_027,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487322,Cluster 27,"Near Southeast, Navy Yard",1619166.82566,Cluster 27,"Near Southeast, Navy Yard",5705,758,4,256,4,0.432427,0.445574,0.067134,0.054864,0.156992,0.737467,0.048812,0.056728,0.547332,0.365016,35,0.043382,0.023647,0.223055,0.801047,20,0.740809,0.225006,8,11,22702.6324,22700,0.39904,37,0,8,,,0,1,36,1,188.554178242,3.155127,7,0.0777938797,0.0001680945,"Near Southeast, Navy Yard",0,1
5,Nbclus_009,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",3517245.16124,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",11588,1530,14,471,10,0.32361,0.541939,0.082844,0.051605,0.060784,0.795424,0.096078,0.047712,0.415989,0.187106,23,0.065396,0.008916,0.086249,0.927641,31,0.381042,0.356061,21,4,48495.9655,48500,0.319488,23,1,243,,,1,2,93,4,309.49650345,9.23369,17,0.0995357982,0.0003651535,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",1,2
6,Nbclus_033,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",3467772.26022,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",14888,4237,36,1170,35,0.007925,0.94875,0.018538,0.024785,0.002832,0.942412,0.021713,0.033042,0.341972,0.225228,26,0.222811,0.034204,0.199902,0.495327,4,0.747573,0.341859,17,37,29951.714,30000,0.275985,15,1,139,,,0,2,101,1,368.672754986,20.01612,34,0.0927386049,0.0003600507,"Capitol View, Marshall Heights, Benning Heights",0,2
7,Nbclus_032,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",4286976.94902,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",13008,3268,32,833,27,0.005919,0.950184,0.017912,0.025984,0.001835,0.949204,0.019583,0.029375,0.354031,0.239508,27,0.207053,0.0218,0.166725,0.637969,10,0.78084,0.287492,14,13,37504.8529,37500,0.287329,19,1,54,,,1,1,84,0,590.903522442,17.297047,29,0.1186900554,0.0004451061,"River Terrace, Benning, Greenway, Dupont Park",1,1
8,Nbclus_008,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2937436.20766,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",13560,1375,9,527,15,0.424115,0.364454,0.152654,0.058775,0.071272,0.768727,0.105454,0.054545,0.611544,0.323182,31,0.037886,0.0289,0.162044,0.766198,17,0.178048,0.234394,9,4,28319.1073,28300,0.231854,7,2,606,,,1,1,180,6,811.758782313,24.557522,39,0.0769811505,0.000305052,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",1,1
9,Nbclus_005,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487308,Cluster 5,"West End, Foggy Bottom, GWU",1358616.44392,Cluster 5,"West End, Foggy Bottom, GWU",16160,239.741132,1,152.693055,1,0.745938,0.053194,0.144301,0.056565,0.580167,0.095731,0.212381,0.111719,0.100356,0.290285,29,0.019399,0.001041,0.019467,0.935615,32,0.109586,0.268324,12,2,91510.4477,91500,0.263639,11,1,235,,,2,0,39,1,0.3541140812,3.217821,8,0.0616253889,0.0001410945,"West End, Foggy Bottom, GWU",2,0
10,Nbclus_030,http://www.neighborhoodaction.dc.gov/neighborhoodact/cwp/view.asp?a=1163&q=487329,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",2524926.97374,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",6573,1743,18,524,14,0.006389,0.952076,0.019777,0.021755,0.002868,0.959265,0.013195,0.02467,0.492871,0.340429,33,0.233069,0.049754,0.181842,0.467136,3,0.761692,0.219893,6,31,18784.4635,18800,0.274498,14,0,36,,,0,1,38,1,652.406604995,18.712916,31,0.0801171532,0.0002622135,"Mayfair, Hillbrook, Mahaning Heights",0,0
