2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Code,LEA Name,Cluster,NBH_NAMES,SchoolName,StreetAddr,ZIP_code,MAR_cluster,School  Name,Neighborhood Cluster,Address,GSF,Capacity,Enrollment SY11-12,Utilization,Lat,Long,School ID,1112Math Tested,1112Math BelowBasic,1112Math Basic,1112Math Proficient,1112Math Advanced,1112Reading Tested,1112Reading BelowBasic,1112Reading Basic,1112Reading Proficient,1112Reading Advanced,2011 Adjusted Cohort Grad Rate,OSSE Code,Name,Total Enrolled 2012,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN,ELL,Level 1,Level 2,Level 3,Level 4,Ward,Name,Total Enrolled 2012,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN,ELL,Level 1,Level 2,Level 3,Level 4,Name of School,PCS or DCPS,Bubdgt Org 4,Year,School No,DC Funding Allocation,Federal Revenue,INTRADISTRICT FUNDS,SPECIAL PURPOSE REVENUE FUNDS,Total Government Revenue,Donations,Fees and Other,Other Revenue,Total Revenue,School Code,School Name,Grade,Subgroup,MValid Tests (n),MBelow Basic (n),MBasic (n),MProficient (n),MAdvanced (n),MPercent Proficient (% Proficient & Advanced),MWeighted,RValid Tests (n),RBelow Basic (n),RBasic (n),RProficient (n),RAdvanced (n),RPercent Proficient (% Proficient & Advanced),RWeighted
101,Maya Angelou PCS,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",Maya Angelou PCS - Evans Upper,"5600 East Capitol St NE Washington, DC",20019,Cluster 33,Maya Angelou PCS: Evans High School,33,"5600 East Capitol St., NE, Washington, DC 20019",37333,200,296,1.48,38.889828,-76.921256,101,70,0.285714286,0.528571429,0.185714286,0,69,0.188405797,0.710144928,0.101449275,0,0.65,101,MAYA ANGELOU EVANS UPPER,296,,,,,,,,,,,,,,,,,296,,5,14,61,4,7,Maya Angelou Evans Campus PCS,298,,,,,,,,,,,,78,75,86,59,,,,7,20,52,9,,PCS,,,,,,,,,,,,,0101,MAYA ANGELOU EVANS CAMPUS PCS,All Grades,All Students,55,16,32,7,0,0.127272727,1.836363636,55,10,33,11,1,0.218181818,2.054545455
102A,Cesar Chavez Public PCS,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",Cesar Chavez PCS - Parkside MS,"3701 Hayes St NE Washington, DC",20019,Cluster 30,Cesar Chavez PCS: Parkside MS,30,"3701 Hayes St., NE, Washington, DC 20019",66860,1100,674,0.612727273,38.902095,-76.949053,102,109,0.04587156,0.440366972,0.486238532,0.027522936,109,0.073394495,0.458715596,0.412844037,0.055045872,,102,Cesar Chavez PCS - Parkside MS,298,,,,,,,,,94,99,105,,,,,,,,,,,,7,Cesar Chavez PCS - Parkside MS,320,,,,,,,,,117,106,95,1,1,,,,,2,6,35,12,1,,PCS,,,,,,,,,,,,,0102,CESAR CHAVEZ PARKSIDE MS PCS,All Grades,All Students,294,33,113,117,31,0.503401361,2.496598639,294,46,128,113,7,0.408163265,2.275510204
102B,Cesar Chavez Public PCS,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",Cesar Chavez PCS - Parkside HS,"3702 Hayes St NE Washington, DC",20019,Cluster 31,Cesar Chavez PCS: Parkside HS,30,"3702 Hayes St., NE, Washington, DC 20019",,,,,,,102,268,0.097014925,0.328358209,0.485074627,0.089552239,268,0.138059701,0.451492537,0.391791045,0.018656716,0.8246,102,Cesar Chavez PCS - Parkside HS,376,,,,,,,,,,,,126,114,90,46,,,10,14,56,14,2,7,Cesar Chavez PCS - Parkside HS,389,,,,,,,,,,,,137,85,94,73,,,7,8,25,15,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,William E. Doar Jr PCS,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",William E. Doar Jr. - Northeast Elementary and Middle,"705 Edgewood Street NE Washington, DC",20017,Cluster 21,William E. Doar Junior PCS: NE Campus,21,"705 Edgewood St., NE, Washington, DC 20017",45000,560,426,0.760714286,38.924177,-76.995901,103,154,0.214285714,0.435064935,0.285714286,0.064935065,154,0.136363636,0.363636364,0.435064935,0.064935065,0.4211,103,WILLIAM E DOAR JR,259,26,25,24,28,24,27,14,24,27,22,18,,,,,,,,5,13,5,,5,William E. Doar Jr PCS,422,51,49,61,47,46,40,30,26,26,21,25,,,,,,,2,14,8,4,2,"William E. Doar, Jr. Public Charter School for the Performing Arts, Inc.",PCS,,2013,103,6517002.928,879704,,,7396706.928,10000,69142,79142,7475848.928,,,,,,,,,,,,,,,,,,
105,Community Academy PCS,Cluster 18,"Brightwood Park, Crestwood, Petworth",Community Academy PCS - Amos I,"1300 Allison St NW Washington, DC",20011,Cluster 18,Community Academy PCS - Amos I,18,"1300 Allison St., NW, Washington, DC 20011",50000,519,461,0.888246628,38.945042,-77.02995,105,128,0.1171875,0.3671875,0.359375,0.15625,127,0.11023622,0.393700787,0.472440945,0.023622047,,105,COMMUNITY ACADEMY PCS (AMOS I),461,65,62,66,73,62,49,41,43,,,,,,,,,,,16,16,13,6,4,Community Academy Amos I,510,71,82,64,84,76,49,46,38,,,,,,,,,,204,13,26,9,5,,PCS,,,,,,,,,,,,,0105,COMMUNITY ACADEMY AMOS I,All Grades,All Students,129,18,50,50,11,0.472868217,2.418604651,129,15,53,57,4,0.472868217,2.387596899
106,Community Academy PCS,Cluster 7,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Community Academy - Butler Bilingual,"5 Thomas Circle NW Washington, DC",20005,Cluster 7,Community Academy PCS - Butler Bilingual,7,"5 Thomas Circle, NW, Washington, DC 20005",30000,300,303,1.01,38.905968,-77.032162,106,68,0.058823529,0.308823529,0.470588235,0.161764706,68,0.058823529,0.352941176,0.485294118,0.102941176,,106,COMMUNITY ACADEMY PCS BUTLER CAMPUS,303,50,64,56,41,23,31,19,19,,,,,,,,,,,10,2,5,2,1,Community Academy Butler Bilingual,308,52,66,52,44,35,17,25,17,,,,,,,,,,92,18,6,1,,,PCS,,,,,,,,,,,,,0106,COMMUNITY ACADEMY BUTLER BILINGUAL,All Grades,All Students,57,1,12,32,12,0.771929825,2.964912281,57,4,13,37,3,0.701754386,2.684210526
108,Community Academy PCS,N/A,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Community Academy - Online,"1351 Nicholson St NW Washington, DC",20011,N/A,Community Academy PCS - Online,N/A,"1351 Nicholson St., NW, Washington, DC 20011",0,195,111,0.569230769,38.960226,-77.031721,108,62,0.112903226,0.274193548,0.403225806,0.209677419,62,0.112903226,0.225806452,0.516129032,0.14516129,,108,COMMUNITY ACADEMY ONLINE,111,,,11,13,10,9,14,9,17,16,12,,,,,,,,7,1,,,4,Community Academy Online,120,,,12,14,18,15,9,16,10,12,14,,,,,,,,16,1,,1,,PCS,,,,,,,,,,,,,0108,COMMUNITY ACADEMY ONLINE,All Grades,All Students,69,5,22,33,9,0.608695652,2.666666667,68,4,17,40,7,0.691176471,2.735294118
113,Friendship PCS,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",Friendship - Southeast Elementary,"645 Milwaukee Place SE Washington, DC",20032,Cluster 39,Friendship PCS - Southeast Elementary Academy,39,"645 Milwaukee Pl., SE, Washington, DC 20032",47000,553,547,0.98915009,38.848042,-76.996758,113,226,0.075221239,0.438053097,0.438053097,0.048672566,226,0.146017699,0.539823009,0.296460177,0.017699115,,113,FRIENDSHIP SOUTHEAST,547,34,72,66,74,69,76,73,83,,,,,,,,,,,19,24,5,1,8,Friendship PCS SouthEast Academy,551,51,56,81,69,69,74,78,73,,,,,,,,,,,16,18,14,1,,PCS,,,,,,,,,,,,,0113,FRIENDSHIP PCS SOUTHEAST ACADEMY,All Grades,All Students,217,20,86,97,14,0.511520737,2.483870968,217,30,85,96,6,0.470046083,2.359447005
114,Hope Community Academy PCS,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Hope Community - Tolson Campus PCS,"2917 8th St NE Washington, DC",20017,Cluster 21,Hope Community PCS: Tolson Campus,21,"2917 8th St., NE, Washington, DC 20017",0,430,425,0.988372093,38.926605,-76.994937,114,174,0.120689655,0.373563218,0.41954023,0.086206897,174,0.149425287,0.402298851,0.408045977,0.040229885,,114,HOPE COMMUNITY TOLSON,425,59,57,49,41,38,36,40,39,21,23,22,,,,,,,,30,4,,9,5,Hope Community PCS Tolson Campus,432,56,65,55,50,40,38,30,26,31,21,20,,,,,,,1,24,5,1,10,"Hope Community Charter School, Inc.",PCS,,2013,114,12332221.39,0,,,12332221.39,0,45489,45489,12377710.39,0114,HOPE COMMUNITY PCS TOLSON CAMPUS,All Grades,All Students,159,20,53,71,15,0.540880503,2.509433962,159,16,64,72,7,0.496855346,2.440251572
115,Howard University Middle School of Math and Science,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",Howard University Middle School of Math and Science,"405 Howard Place NW Washington, DC",20059,Cluster 3,Howard University Middle School PCS,3,"405 Howard Pl., NW, Washington, DC, 20059",39600,360,307,0.852777778,38.92246,-77.021079,115,266,0.018796992,0.191729323,0.631578947,0.157894737,267,0.014981273,0.254681648,0.595505618,0.134831461,,115,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH-SCIENCE,307,,,,,,,,,118,100,89,,,,,,,,7,6,,,1,Howard University Math & Science PCS,316,,,,,,,,,108,115,93,,,,,,,,8,5,1,,Howard University Public Charter Middle School of Mathematics and Science,PCS,,2013,115,4354506.304,235000,,,4589506.304,0,1570000,1570000,6159506.304,0115,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS,All Grades,All Students,307,9,57,167,74,0.785016287,2.996742671,307,9,74,175,49,0.729641694,2.859934853
