"School  Name","Agency","Grades","Neighborhood Cluster","Address","GSF","Capacity","Enrollment SY11-12","Utilization"
"Achievement Preparatory Academy PCS","PCS","4-8","39.0","908 Wahler Place, SE 2nd Floor 20032","27000.0","300.0","202.0","0.673333333333"
"Aiton Elementary School","DCPS","PS-5","31.0","533 48th PL., NE, Washington, DC 20019
","57100.0","442.0","269.0","0.608597285068"
"Amidon-Bowen Elementary School","DCPS","PK-5","9.0","401 Eye St., SW, Washington, DC 20024","70800.0","400.0","254.0","0.635"
"Anacostia Senior High School","DCPS","9-12","34.0","1601 16th St., Washington, DC 20020","207000.0","1200.0","784.0","0.653333333333"
"AppleTree  Early Learning PCS - Lincoln Park","PCS","PS-PK","26.0","138 12th Street, NE  20019","8975.0","160.0","60.0","0.375"
"AppleTree  Early Learning PCS - Oklahoma Ave.","PCS","PS-PK","25.0","330 21st Street, NE 20002","15866.0","160.0","158.0","0.9875"
"AppleTree  Early Learning PCS -Parkland","PCS","PS-PK","38.0","2011 Savannah Street, SE 20020","7484.0","160.0","80.0","0.5"
"AppleTree Early Learning PCS - Amidon ","PCS","PS-PK","9.0","401 I Street, SW 20024","2200.0","160.0","41.0","0.25625"
"AppleTree Early Learning PCS - Columbia Heights","PCS","PS-PK","2.0","2750 14th Street, NW 20009","12204.0","160.0","158.0","0.9875"
"AppleTree Early Learning PCS - Douglas Knoll","PCS","PS-PK","38.0","2017 Savannah Terrace, SE 20020","9677.0","160.0","86.0","0.5375"
"AppleTree Early Learning PCS - Riverside ","PCS","PS-PK","9.0","680 I Street, SW 20024","3600.0","160.0","40.0","0.25"
"Arts & Technology Academy PCS","PCS","PS-5","31.0","5300 Blaine St., NE, Washington, DC 20019","70000.0","633.0","602.0","0.95102685624"
"Ballou Senior High School","DCPS","9-12","39.0","3401 4th St., SE, Washington, DC 20032","271300.0","1400.0","1830.0","1.30714285714"
"Bancroft Elementary School","DCPS","PS-5","2.0","1755 Newtwon St., NW, Washington, DC 20010","79800.0","563.0","463.0","0.822380106572"
"Barnard Elementary School","DCPS","PS-5","18.0","430 Decatur St., NW, Washington, DC 20011","72500.0","520.0","482.0","0.926923076923"
